	pval	padj
6455	0.0011098779134295228	0.0011098779134295228
1431	0.0011098779134295228	0.0011098779134295228
1410	0.0011098779134295228	0.0011098779134295228
2241	0.0022197558268590455	0.0013873473917869034
6208	0.0022197558268590455	0.0015538290788013318
6846	0.003329633740288568	0.001849796522382538
1863	0.004439511653718091	0.0022197558268590455
3038	0.005549389567147614	0.0026359600443951166
1621	0.006659267480577136	0.0030829942039708965
6427	0.00776914539400666	0.003551609322974473
3991	0.00776914539400666	0.003935021693068308
2500	0.011098779134295227	0.0045320014798372185
1007	0.011098779134295227	0.005037138222487835
1209	0.011098779134295227	0.00547011257333122
3854	0.011098779134295227	0.00584535701072882
6807	0.014428412874583796	0.006381798002219757
647	0.016648168701442843	0.006985702160997585
899	0.017758046614872364	0.007584165741768407
1732	0.017758046614872364	0.0081196331561423
2287	0.018867924528301886	0.008657047724750278
5341	0.01997780244173141	0.009196131282701761
4906	0.01997780244173141	0.009686207244475838
6435	0.022197558268590455	0.010230179028132995
602	0.023307436182019976	0.010775064742878286
1424	0.023307436182019976	0.011276359600443953
5697	0.023307436182019976	0.011739093315119953
1500	0.0244173140954495	0.01220865704772475
1029	0.0244173140954495	0.012644680513714921
718	0.02774694783573807	0.013165448352405374
2531	0.02774694783573807	0.013651498335183131
5917	0.029966703662597113	0.014177795281228743
6689	0.03218645948945616	0.01474056603773585
4115	0.03218645948945616	0.015269229475666769
825	0.03218645948945616	0.015766795064307636
780	0.03218645948945616	0.016235928333597594
305	0.033296337402885685	0.016709828585522266
6589	0.033296337402885685	0.017158112607613168
193	0.03440621531631521	0.017612010047315853
6272	0.03440621531631521	0.018042630695238912
6150	0.03551609322974473	0.018479467258601556
3549	0.03551609322974473	0.018894994721312366
3370	0.03995560488346282	0.019396437820411186
124	0.03995560488346282	0.0198745579846682
1094	0.03995560488346282	0.02033094541418626
6558	0.03995560488346282	0.02076704895794796
2642	0.041065482796892344	0.02120831925879458
2294	0.042175360710321866	0.021654426523720693
1015	0.04328523862375139	0.022105068442471332
2004	0.04328523862375139	0.022537316813517866
914	0.04328523862375139	0.02295227524972254
3595	0.04328523862375139	0.023350960806076047
2822	0.04439511653718091	0.023755656108597294
6441	0.04439511653718091	0.024145079890268685
806	0.04661487236403995	0.024561187158301488
858	0.048834628190899	0.02500252244980326
3849	0.048834628190899	0.02542809576660854
52	0.049944506104328525	0.0258582082286738
1400	0.049944506104328525	0.026273489226529913
5221	0.051054384017758046	0.02669350439248293
2970	0.05216426193118757	0.027118017018128007
